epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.095,1.83695,2.34273,1.84368,0.26639,0.60534,0.30238,0.16149,1.10644,2.94151,1.17061,0.0002,0.0002,0.0002
2,18.3293,0.93576,0.88298,1.21787,0.9877,1,0.995,0.91233,0.46917,0.99837,0.92039,0.000403368,0.000403368,0.000403368
3,22.9976,0.80817,0.61545,1.08135,1,1,0.995,0.84792,0.57239,2.55542,0.97162,0.000589312,0.000589312,0.000589312
4,30.617,0.73771,0.50614,1.0275,0.99631,1,0.995,0.85284,0.60637,0.59325,1.00973,0.000757832,0.000757832,0.000757832
5,35.2587,0.77778,0.54456,1.07546,0.88221,0.99871,0.98327,0.75777,0.83492,0.93465,1.12455,0.000908928,0.000908928,0.000908928
6,39.8926,0.74057,0.49698,1.03402,0.99388,0.93333,0.98794,0.84113,0.70404,0.61927,1.0104,0.0010426,0.0010426,0.0010426
7,46.5125,0.75802,0.50882,1.02485,0.95883,0.93333,0.99125,0.82385,0.77842,0.69371,1.05867,0.00115885,0.00115885,0.00115885
8,50.573,0.75774,0.5139,1.04005,0.80227,0.86667,0.93016,0.70195,0.84591,0.80643,1.07303,0.00125767,0.00125767,0.00125767
9,58.3448,0.7596,0.49136,1.02063,0.83042,1,0.95017,0.84691,0.58961,0.49782,0.98178,0.00133907,0.00133907,0.00133907
10,63.2911,0.73385,0.47727,1.01414,0.98405,1,0.995,0.88294,0.6179,0.46232,0.99138,0.0012872,0.0012872,0.0012872
11,67.907,0.7007,0.44066,1.00173,0.9969,1,0.995,0.88994,0.54854,0.34597,0.9585,0.001208,0.001208,0.001208
12,75.0783,0.72023,0.43176,0.99098,0.99481,1,0.995,0.88329,0.57073,0.36392,0.95139,0.0011288,0.0011288,0.0011288
13,79.4698,0.70097,0.44023,1.01003,0.99438,1,0.995,0.87522,0.58987,0.35711,0.96902,0.0010496,0.0010496,0.0010496
14,84.4215,0.65775,0.39197,0.98865,0.99652,1,0.995,0.89862,0.55786,0.37111,0.95403,0.0009704,0.0009704,0.0009704
15,90.937,0.70816,0.42221,1.00779,0.99635,1,0.995,0.88833,0.51525,0.3188,0.93731,0.0008912,0.0008912,0.0008912
16,107.163,0.51745,0.35454,0.93022,0.99665,1,0.995,0.89306,0.47174,0.3332,0.9172,0.000812,0.000812,0.000812
17,112.997,0.52049,0.32517,0.94114,0.99669,1,0.995,0.89808,0.52175,0.36923,0.92757,0.0007328,0.0007328,0.0007328
18,121.102,0.53029,0.30576,0.93674,0.99665,1,0.995,0.90105,0.49629,0.33366,0.94789,0.0006536,0.0006536,0.0006536
19,126.426,0.51812,0.31842,0.94148,0.99645,1,0.995,0.87739,0.54334,0.30116,0.94925,0.0005744,0.0005744,0.0005744
20,132.883,0.51134,0.31224,0.92165,0.99656,1,0.995,0.85782,0.69487,0.34139,1.02064,0.0004952,0.0004952,0.0004952
21,137.163,0.51606,0.3019,0.96403,0.99663,1,0.995,0.88916,0.51807,0.26531,0.92721,0.000416,0.000416,0.000416
22,144.419,0.48104,0.28059,0.93893,0.99651,1,0.995,0.881,0.5273,0.26134,0.928,0.0003368,0.0003368,0.0003368
23,150.893,0.45936,0.27028,0.90472,0.99653,1,0.995,0.88959,0.54651,0.26665,0.93852,0.0002576,0.0002576,0.0002576
24,155.763,0.45749,0.25854,0.90783,0.99659,1,0.995,0.90831,0.4802,0.24729,0.91109,0.0001784,0.0001784,0.0001784
25,161.688,0.45056,0.25155,0.89187,0.99658,1,0.995,0.93133,0.45744,0.23879,0.90523,9.92e-05,9.92e-05,9.92e-05
